line_number,username,platform,creator_type,followers,follower_tier,rate_card_idr,rate_card_raw,is_barter
99,pumthebritishcat,tiktok,cat,27900,micro,1000000,"Rp1,000,000",False
100,felfebriani,tiktok,cat,66700,micro,600000,Rp 600.000,False
101,mochithemochii,instagram,dog_large_breed,120000,macro,550000,"Rp550,000",False
102,caterva_canum,instagram,dog_large_breed,30300,micro,400000,"Rp400,000",False
103,koko.the.dobie,instagram,dog_large_breed,38800,micro,850000,"Rp850,000",False
104,montybardokairo,instagram,dog_large_breed,208000,macro,500000,"Rp500,000",False
105,wynnearmeline,tiktok,dog_small_breed,152800,macro,800000,"Rp800,000",False
106,adisislami88,tiktok,dog_small_breed,211300,macro,500000,"Rp500,000",False
107,mariamarcella,tiktok,dog_medium_breed,380300,macro,700000,"Rp700,000",False
110,mariss.stella,tiktok,dog_medium_breed,36300,micro,600000,"Rp600,000",False
111,mochasugarhoney_,tiktok,dog_medium_breed,30900,micro,600000,"Rp600,000",False
112,enaunaaron,tiktok,dog_small_breed,21300,micro,700000,"Rp700,000",False
114,Pao_thepoodle,tiktok,dog_small_breed,37000,micro,250000,"Rp250,000",False
115,baby.nachaaaa,tiktok,dog_small_breed,397900,macro,800000,"Rp800,000",False
116,levinazeligia,tiktok,dog_medium_breed,303200,macro,500000,"Rp500,000",False
117,cipayretriever,tiktok,dog_medium_breed,21700,micro,1000000,"Rp1,000,000",False
118,rawkennel,tiktok,dog_medium_breed,37800,micro,200000,"Rp200,000",False
119,smolly.shihtzu,tiktok,dog_small_breed,23100,micro,2300000,"Rp2,300,000",False
120,ruddy_handojo,tiktok,dog_medium_breed,279900,macro,2000000,"Rp2,000,000",False
121,woolygolden,instagram,dog_medium_breed,116000,macro,3500000,"Rp3,500,000",False
122,callin_lim,tiktok,dog_medium_breed,124000,macro,1400000,"Rp1,400,000",False
123,nonaabon,tiktok,dog_small_breed,13900,micro,400000,"Rp400,000",False
124,ardiwibowo_bowok,tiktok,dog_medium_breed,176000,macro,1000000,"Rp1,000,000",False
125,snowyretriever,tiktok,dog_medium_breed,205200,macro,700000,"Rp700,000",False
126,flokiandtheaclan,tiktok,dog_medium_breed,2000000,mega,6000000,"Rp6,000,000",False
127,browniethepom_,tiktok,dog_small_breed,152900,macro,1500000,"Rp1,500,000",False
128,chipasfamily,tiktok,dog_small_breed,125900,macro,750000,"Rp 750,000",False
129,gianthouse.id,tiktok,dog_medium_breed,21800,micro,500000,"Rp 500,000",False
130,clowyowi,tiktok,dog_small_breed,9972,nano,500000,Rp 500.000,False
132,hi.milomuffin,tiktok,dog_medium_breed,240600,macro,1500000,"Rp1,500,000",False
133,jody.setiawan.100,tiktok,dog_small_breed,59600,micro,1000000,"Rp1,000,000",False
137,Koko Guguk,tiktok,dog_medium_breed,1700000,mega,21000000,"Rp21,000,000",False
138,zoeyzolapoodle,tiktok,dog_small_breed,2808,nano,150000,BARTER,True
139,miss.ramen,tiktok,dog_small_breed,1384,nano,150000,BARTER,True
140,Dearion Cattery,tiktok,cat,5559,nano,150000,BARTER,True
141,dollars_toypoodle,tiktok,dog_small_breed,2453,nano,150000,BARTER,True
142,lapetkiboyoung,tiktok,cat,6359,nano,150000,BARTER,True
143,rye.bel,tiktok,cat,22000,micro,150000,BARTER,True
144,opet.salju,tiktok,cat,4274,nano,150000,BARTER,True
145,kucingbomba,tiktok,cat,2864,nano,150000,BARTER,True
146,littlebanyi,tiktok,dog_small_breed,1242,nano,150000,BARTER,True
147,wcrmzone,tiktok,cat,6104,nano,150000,BARTER,True
148,comodopabloescobar,tiktok,cat,99900,micro,500000,"Rp500,000",False
149,arkaliantana,tiktok,cat,18900,micro,800000,"Rp800,000",False
