NO,username,Jenis Kreator,Platform,Followers,Rate Card
102,gwintheragdoll,Cat,Tiktok,"46,600","Rp7,000,000"
103,bondsicat,Cat,Tiktok,"25,100","Rp600,000"
104,samshinecat,Cat,Tiktok,"21,600","Rp600,000"
105,bilalpyarka,Cat,Tiktok,27500,Rp0
106,yeliandfamilyofficial,Cat,Tiktok,8481,"Rp300,000"
107,pitapixie,Cat,Tiktok,1000000,"Rp5,000,000"
108,yeobo.munchkincat,Cat,Tiktok,3554,"Rp350,000"
109,ciko_pikocan,Cat,Tiktok,28900,"Rp4,000,000"
110,widiwidioo,Cat,Tiktok,,"Rp700,000"
111,kinzari.kei,Cat,Tiktok,,"Rp750,000"
112,bubu_berponi,Cat,Tiktok,73500,"Rp1,200,000"
113,namorabritishcat,Cat,Tiktok,34500,"Rp1,200,000"
114,pumthebritishcat,Cat,Tiktok,"27,900","Rp1,000,000"
115,felfebriani,Cat,Tiktok,"66,700",Rp 600.000
116,mochithemochii,Dog Large Breed,Instagram,"120,000","Rp550,000"
117,dalloscar,Dog Large Breed,Instagram,"43,700",
118,kaiandkimo_themalamute,Dog Large Breed,Instagram,"196,000",
119,falcon_samoyed,Dog Large Breed,Instagram,"148,000",
120,floki_andtheclan,Dog Large Breed,Instagram,"707,000",
121,valent_7jfamily,Dog Large Breed,Instagram,"31,300",
122,fluffykaori,Dog Large Breed,Instagram,"242,000",
123,zeeandbagel,Dog Large Breed,Instagram,"30,800",
124,yukoandyuki,Dog Large Breed,Instagram,"256,000",
125,snoweethegolden,Dog Large Breed,Instagram,"212,000",
126,audreyaofficial,Dog Large Breed,Instagram,"404,000",
127,hubleshadowhunter,Dog Large Breed,Instagram,"193,000",
128,gucci.lovely,Dog Large Breed,Instagram,"63,000",
129,arkenmalamute,Dog Large Breed,Instagram,"982,000",
130,wulanwu,Dog Large Breed,Instagram,"189,000",
131,sibling_thealaskan,Dog Large Breed,Instagram,"248,000",
132,caterva_canum,Dog Large Breed,Instagram,"30,300","Rp400,000"
133,hi.millomuffin,Dog Large Breed,Instagram,"10,900",
134,otto_giant_poodle,Dog Large Breed,Instagram,"22,600",
135,koko.the.dobie,Dog Large Breed,Instagram,"38,800","Rp850,000"
136,kolacollie,Dog Large Breed,Instagram,"60,500",
137,montybardokairo,Dog Large Breed,Instagram,"208,000","Rp500,000"
138,wynnearmeline,Dog Small Breed,Tiktok,"152,800","Rp800,000"
139,adisislami88,Dog Small Breed,Tiktok,"211,300","Rp500,000"
140,mariamarcella,Dog Medium Breed,Tiktok,380300,"Rp700,000"
141,yamadancasey,Dog Medium Breed,Instagram,,Rp0
142,obeywelshcorgi,Dog Medium Breed,Instagram,,"Rp100,000"
143,mariss.stella,Dog Medium Breed,Tiktok,"36,300","Rp600,000"
144,mochasugarhoney_,Dog Medium Breed,Tiktok,"30,900","Rp600,000"
145,enaunaaron,Dog Small Breed,Tiktok,"21,300","Rp700,000"
146,lilo_lovelyone,Dog Small Breed,Tiktok,"125,000",Rp0
147,Pao_thepoodle,Dog Small Breed,Tiktok,"37,000","Rp250,000"
148,baby.nachaaaa,Dog Small Breed,Tiktok,"397,900","Rp800,000"
149,levinazeligia,Dog Medium Breed,Tiktok,"303,200","Rp500,000"
150,cipayretriever,Dog Medium Breed,Tiktok,"21,700","Rp1,000,000"
151,rawkennel,Dog Medium Breed,Tiktok,"37,800","Rp200,000"
152,smolly.shihtzu,Dog Small Breed,Tiktok,"23,100","Rp2,300,000"
153,ruddy_handojo,Dog Medium Breed,Tiktok,"279,900","Rp2,000,000"
154,woolygolden,Dog Medium Breed,Instagram,"116,000","Rp3,500,000"
155,callin_lim,Dog Medium Breed,Tiktok,"124,000","Rp1,400,000"
